timestep,seed_ratio,claim_step,replicate,support_ratio
3,0.15,-1,26,0.10627972689882287
4,0.15,-1,26,0.12189298334490857
5,0.15,-1,26,0.13370025729812302
6,0.15,-1,26,0.1495824632285488
7,0.15,-1,26,0.16139091675576137
8,0.15,-1,26,0.1831343159880968
9,0.15,-1,26,0.20970056930024644
10,0.15,-1,26,0.258403961445383
11,0.15,-1,26,0.2790705816477466
12,0.15,-1,26,0.3020350339831346
1,0.15,-1,27,0.08669040521192749
2,0.15,-1,27,0.0964298952612805
3,0.15,-1,27,0.11627123726711824
4,0.15,-1,27,0.12635339415017532
5,0.15,-1,27,0.14755619401967596
6,0.15,-1,27,0.1808356722518884
7,0.15,-1,27,0.2103505817591921
8,0.15,-1,27,0.2461570475209482
9,0.15,-1,27,0.2855233443819435
